trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.96}",25,0,-125.51896973054394,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-165.02159722314977,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-62.10986892317121,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-151.750142005285,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-119.06372075411561,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-119.70270826740678,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-67.79144754981245,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-115.70495857442525,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-73.2824023707047,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-98.95691534609722,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,0,-28.539580596958437,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.5199999999999996}",30,6,-83.84329004796447,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.4799999999999996}",20,11,0.20813069090049252,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.4399999999999996}",25,9,13.711328563283224,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,3,-67.56659628745652,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.35999999999999965}",20,0,-2.4268937341956622,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.3199999999999997}",20,0,-32.00382327589688,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.2799999999999997}",20,0,14.31754942057529,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.23999999999999969}",20,9,-6.292522841748703,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,21,-60.86565310019912,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
21,False,"{'a': 0.5, 'e': 0.15999999999999967}",35,0,52.17181424367689,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.11999999999999966}",25,0,1.105521278712828,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.07999999999999965}",30,5,12.191093831254335,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.039999999999999654}",20,0,20.747269805375677,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,14,11.886955097473123,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,17.56600627511176,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,20,8.726040106776011,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,32.82904430776046,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,7,30.583395352814655,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,24.020317757193947,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,36.65415979386513,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,19,16.716780572675745,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,33.7255305997849,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,8,25.943816135159402,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
