trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-69.57689381533945,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-113.20069656850411,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,0,-74.36242978144853,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.951229424500714}",30,0,-181.1925982469707,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9417645335842487}",30,0,-172.87608114675712,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9323938199059483}",30,0,-131.04336166951282,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,0,-154.07097178177534,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-84.89491280506873,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-71.18471397714217,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,0,-222.53647214927494,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-100.26306664390356,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,0,-150.64439053566602,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-102.80472424405093,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.8607079764250578}",30,0,-123.2695346664448,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-94.68470018085429,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-22.04235896712097,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.835270211411272}",30,0,-223.66355453975603,"{0: 16, 1: 6, 2: 3, 3: 1, 4: 4}",0
18,False,"{'a': 0.01, 'e': 0.8269591339433623}",20,0,-41.62842145283762,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.8187307530779818}",25,0,-90.27447691405152,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.8105842459701871}",30,0,-84.50744743776403,"{0: 23, 1: 5, 2: 0, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.8025187979624785}",30,0,-100.57249474435793,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.794533602503334}",30,15,-42.86228745691704,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.01, 'e': 0.7866278610665535}",20,11,-44.217096980019015,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
