trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.2266305190714,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-186.2532507788015,"{0: 18, 1: 8, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.1326660676191,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.48969170080002,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.46267710857131,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-207.2381864103542,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.28590369761478,"{0: 17, 1: 7, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.52488931463172,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.05457529880783,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.827086526563754,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,6,-73.63544047343674,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.31303959487335,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-262.96903527497705,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.53143970672346,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-253.22218249922417,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 5}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.43321903219675,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.91250005735574,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.78298261639915,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.59680161737342,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,10,-57.8970093690941,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,8,-54.59772492739801,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-60.544136258019606,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-179.13306349713162,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-177.39580862863824,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-27.155389797727782,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-186.84582314649893,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.6405024700182,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.56414211505034,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-138.24233031010675,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-213.25778562777188,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
